ID,Year,Org_nb,Org_W,Inv_nb,Inv_W,Include,Comments,Source
ESEB_S_10,2017,2,1,2,1,TRUE,,online_program
ESEB_S_11,2017,2,1,2,2,TRUE,,online_program
ESEB_S_12,2017,5,2,2,1,TRUE,,online_program
ESEB_S_13,2017,2,1,2,1,TRUE,,online_program
ESEB_S_14,2017,4,1,2,1,TRUE,,online_program
ESEB_S_15,2017,2,1,2,1,TRUE,,online_program
ESEB_S_16,2017,5,1,2,1,TRUE,,online_program
ESEB_S_17,2017,3,3,2,1,TRUE,,online_program
ESEB_S_18,2017,2,0,2,0,TRUE,,online_program
ESEB_S_19,2017,3,1,2,1,TRUE,,online_program
ESEB_S_20,2017,4,3,2,1,TRUE,,online_program
ESEB_S_21,2017,3,1,2,0,TRUE,,online_program
ESEB_S_22,2017,7,1,2,0,TRUE,,online_program
ESEB_S_23,2017,3,2,2,2,TRUE,,online_program
ESEB_S_24,2017,5,1,2,1,TRUE,,online_program
ESEB_S_25,2017,4,2,2,1,TRUE,,online_program
ESEB_S_26,2017,4,2,2,1,TRUE,,online_program
ESEB_S_27,2017,5,1,2,1,TRUE,,online_program
ESEB_S_28,2017,5,1,2,0,TRUE,,online_program
ESEB_S_29,2017,4,0,2,1,TRUE,,online_program
ESEB_S_30,2017,2,0,2,0,TRUE,,online_program
ESEB_S_31,2017,5,4,2,1,TRUE,,online_program
ESEB_S_32,2017,2,0,2,1,TRUE,,online_program
ESEB_S_33,2017,2,2,2,1,TRUE,,online_program
ESEB_S_34,2017,2,0,2,0,TRUE,,online_program
ESEB_S_35,2017,NA,NA,NA,NA,FALSE,"Open, no invited",online_program
